system:index,baseline_year,city,delta_LST,delta_max_LST,delta_top10_LST,final_year,max_LST_2000,max_LST_2020,mean_LST_2000,mean_LST_2020,n_images_2000,n_images_2020,n_pixels,sensor_2000,sensor_2020,top10_LST_2000,top10_LST_2020,transition,transition_area_pct,transition_code,.geo,error
00000000000000000028_16,2000.0,Baku City,3.590555269008462,0.2921955404419236,-0.0718011828639646,2020.0,321.2026159511027,321.4948114915446,311.7706591984362,315.36121446744465,25.0,29.0,125.0,L5,L8,321.2026159511027,321.13081476823874,bare→crop,0.0007828142585922319,503.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_17,2000.0,Baku City,-2.0447322500917835,-4.70312495681992,-4.690767246709129,2020.0,313.18151224611523,308.4783872892953,307.8700346346389,305.8253023845471,25.0,29.0,2271.0,L5,L8,313.16731523636474,308.4765479896556,bare→wat,0.0142221694501036,504.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_18,2000.0,Baku City,4.875123312411574,4.119998825417838,4.119937159866026,2020.0,313.6229915066334,317.74299033205125,309.17695932276706,314.05208263517864,25.0,29.0,570122.0,L5,L8,313.62288027230164,317.74281743216767,imp→imp,3.5703970458969634,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_19,2000.0,Baku City,6.6144170238638935,4.420668202537513,4.510795825141599,2020.0,318.6285752644573,323.0492434669948,311.7088025203311,318.323219544195,25.0,29.0,1616796.0,L5,L8,318.4597718718762,322.9705676970178,veg→veg,10.12520769627909,202.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_20,2000.0,Baku City,5.49776155825856,3.986540379429414,3.985860229151285,2020.0,311.8095227198544,315.7960630992838,306.92475303174126,312.4225145899998,25.0,29.0,5683.0,L5,L8,311.8095227198544,315.79538294900567,crop→crop,0.0355898674526372,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_21,2000.0,Baku City,1.828622906780936,-1.0430419066534569,-0.918759392079437,2020.0,300.8960748398743,299.85303293322085,295.69826454584467,297.5268874526256,25.0,29.0,12919295.0,L5,L8,300.7578550627916,299.83909567071214,wat→wat,80.90726669567462,404.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000028_22,2000.0,Baku City,5.913232138748867,3.2071398965313165,3.146811091103075,2020.0,319.7045957572028,322.9117356537341,311.243789060499,317.1570211992479,25.0,29.0,195846.0,L5,L8,319.67388425540196,322.82069534650503,bare→bare,1.226488330306034,505.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_0,2000.0,Manila,23.638358529534287,24.92802923086458,24.92802923086458,2020.0,291.6888808014839,316.61691003234847,291.6888808014839,315.3272393310182,3.0,4.0,8864.0,L5,L8,291.6888808014839,316.61691003234847,veg→imp,12.787812337699808,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_1,2000.0,Manila,,,,2020.0,,309.40075308001497,,308.7359478215956,3.0,4.0,15.0,L5,L8,,309.40075308001497,veg→wat,0.0216400253909631,204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_2,2000.0,Manila,,,,2020.0,,310.5470987042106,,310.5470987042106,3.0,4.0,1.0,L5,L8,,310.5470987042106,veg→bare,0.0014426683593975,205.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_3,2000.0,Manila,,,,2020.0,,312.23772082509157,,309.2630961646578,3.0,4.0,4.0,L5,L8,,312.23772082509157,crop→imp,0.0057706734375901,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_4,2000.0,Manila,,,,2020.0,,308.75368249865085,,306.96400486199843,3.0,4.0,2.0,L5,L8,,308.75368249865085,crop→veg,0.002885336718795,302.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_5,2000.0,Manila,,,,2020.0,,308.3609759230776,,306.72047492440686,3.0,4.0,5.0,L5,L8,,308.3609759230776,crop→wat,0.0072133417969877,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_6,2000.0,Manila,21.898656536592796,22.8070232790144,22.8070232790144,2020.0,290.5917570850732,313.3987803640876,290.5917570850732,312.490413621666,3.0,4.0,4639.0,L5,L8,290.5917570850732,313.3987803640876,wat→imp,6.692538519245196,401.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_7,2000.0,Manila,,,,2020.0,,310.76967320765516,,310.23772556999756,3.0,4.0,7.0,L5,L8,,310.76967320765516,wat→veg,0.0100986785157827,402.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
0000000000000000001a_8,2000.0,Manila,,,,2020.0,,309.9265803942966,,309.540929197224,3.0,4.0,13.0,L5,L8,,309.9265803942966,wat→bare,0.018754688672168,405.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
