system:index,LC_class,LC_percent,city,max_LST,mean_LST,mean_top10_LST,n_images,sensor,year,.geo
0000000000000000000f_1,2,13.828052708713898,Seoul,302.14702370067204,300.9877090720852,302.14702370067204,6,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_2,3,0.4674143242025168,Seoul,304.5132721268623,304.1133617529185,304.5132721268623,6,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_3,4,4.27557993330707,Seoul,300.96765300132796,298.0265664762737,300.96765300132796,6,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_4,5,0.0017619381559246,Seoul,304.0665353367219,302.6104573656318,304.0665353367219,6,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,1,53.07888607494032,Delhi,319.1056328503573,311.77631882277024,319.1056328503573,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_1,2,9.83668798614723,Delhi,320.35350968324104,312.1284735273406,320.35350968324104,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_2,3,36.23839751917506,Delhi,322.66254925564135,312.77069361014355,322.66254925564135,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_3,4,0.842992125239137,Delhi,312.6495597785342,307.6891807631818,312.6495597785342,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_4,5,0.0030362944982563,Delhi,316.3596061398569,309.0843018896549,316.3596061398569,9,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1,73.94508631133918,Bangkok,251.51637899355316,251.51637899355316,251.51637899355316,4,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_1,2,9.10794047414626,Bangkok,252.27502941068352,252.27502941068352,252.27502941068352,4,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_2,3,11.262817170336648,Bangkok,252.58198357321567,252.58198357321567,252.58198357321567,4,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_3,4,5.344275489705914,Bangkok,256.24248798325607,256.24248798325607,256.24248798325607,4,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_4,5,0.3398805544719952,Bangkok,266.38120023452046,266.38120023452046,266.38120023452046,4,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,1,44.57303373168005,Kyiv,315.01872390037903,307.59153737570404,315.0184976155633,14,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_1,2,49.034733859337344,Kyiv,307.46545152678084,301.39475636941864,307.4654453359874,14,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_2,3,0.4141236726564347,Kyiv,314.3951306184396,306.3227856528696,314.3951306184396,14,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_3,4,5.975594881219221,Kyiv,304.1932945828945,298.7977463007184,304.1932031743348,14,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_4,5,0.0025138551069451,Kyiv,305.1379923994624,300.8654331975186,305.1379923994624,14,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,1,80.66676552590691,Bucharest,311.3923280118872,306.55890848145737,311.3923280118872,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_1,2,11.585223726470598,Bucharest,307.118334297724,301.73620880902126,307.118334297724,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_2,3,4.816850083229361,Bucharest,310.4372723793909,304.23502150486615,310.4372723793909,7,L5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
