city,year,own_area_km2,ghsl_urban_centre_area_km2,area_ratio,perimeter_area_ratio,reliable
Melbourne,2020,8817.740090899468,1409.71576525,6.254977285676963,9.164587981493012,true
Sydney,2000,4359.180555506173,1133.02516825,3.8473819273044847,11.261689826898563,true
Sydney,2005,4359.180555506173,1159.57190825,3.75930162199682,11.261689826898563,true
Sydney,2010,4359.180555506173,1182.7637365,3.68558860994989,11.261689826898563,true
Sydney,2015,4359.180555506173,1192.695139,3.654899238678102,11.261689826898563,true
Sydney,2020,4359.180555506173,1245.7708825,3.4991832099641105,11.261689826898563,true
Hobart,2000,1019.5318372474937,2.92979325,347.98763948530967,15.994140061647874,false
Hobart,2005,1019.5318372474937,2.92979325,347.98763948530967,15.994140061647874,false
Hobart,2010,1019.5318372474937,2.92979325,347.98763948530967,15.994140061647874,false
Hobart,2015,1019.5318372474937,2.92979325,347.98763948530967,15.994140061647874,false
Hobart,2020,1019.5318372474937,2.92979325,347.98763948530967,15.994140061647874,false
Vientiane Capital,2000,551.8280223113932,49.195707,11.21699546489683,7.314685315548623,true
Vientiane Capital,2005,551.8280223113932,52.979443,10.415889467003138,7.314685315548623,true
Vientiane Capital,2010,551.8280223113932,64.329899,8.578095580585215,7.314685315548623,true
Vientiane Capital,2015,551.8280223113932,64.329899,8.578095580585215,7.314685315548623,true
Vientiane Capital,2020,551.8280223113932,52.9771885,10.41633272613916,7.314685315548623,true
Sofia,2000,454.1235495166915,152.81746375,2.9716731214673855,8.548612968484028,true
Sofia,2005,454.1235495166915,152.81746375,2.9716731214673855,8.548612968484028,true
Sofia,2010,454.1235495166915,182.23113225,2.492019579254365,8.548612968484028,true
Sofia,2015,454.1235495166915,182.23113225,2.492019579254365,8.548612968484028,true
Sofia,2020,454.1235495166915,182.23113225,2.492019579254365,8.548612968484028,true
Buenos Aires,2000,205.58318910677463,1743.12283525,0.11793958804818809,6.021391910432448,true
